uniprot,cid,smiles,resp
Q9H255,31244,COC1=CC=C(C=C1)C=O,0
Q8TCB6,31244,COC1=CC=C(C=C1)C=O,0
Q8NGK1,31244,COC1=CC=C(C=C1)C=O,0
Q8NH61,31244,COC1=CC=C(C=C1)C=O,0
A6NGY5,31244,COC1=CC=C(C=C1)C=O,0
Q9H339,31244,COC1=CC=C(C=C1)C=O,0
Q9H340,31244,COC1=CC=C(C=C1)C=O,0
Q9Y5P0,31244,COC1=CC=C(C=C1)C=O,0
Q8NGF3,31244,COC1=CC=C(C=C1)C=O,0
Q8NH59,31244,COC1=CC=C(C=C1)C=O,0
Q8NGJ5,31244,COC1=CC=C(C=C1)C=O,0
Q9H341,31244,COC1=CC=C(C=C1)C=O,0
Q8NGJ8,31244,COC1=CC=C(C=C1)C=O,0
Q8NGJ9,31244,COC1=CC=C(C=C1)C=O,0
Q8NGK0,31244,COC1=CC=C(C=C1)C=O,0
Q9H342,31244,COC1=CC=C(C=C1)C=O,0
Q9H344,31244,COC1=CC=C(C=C1)C=O,0
Q9H343,31244,COC1=CC=C(C=C1)C=O,0
Q8NGR1,31244,COC1=CC=C(C=C1)C=O,0
P58182,31244,COC1=CC=C(C=C1)C=O,0
Q9UGF7,31244,COC1=CC=C(C=C1)C=O,0
Q8NGS6,31244,COC1=CC=C(C=C1)C=O,0
Q8NGS5,31244,COC1=CC=C(C=C1)C=O,0
B2RN74,31244,COC1=CC=C(C=C1)C=O,0
Q8NGC7,31244,COC1=CC=C(C=C1)C=O,0
Q8NGX0,31244,COC1=CC=C(C=C1)C=O,0
Q8NGJ7,31244,COC1=CC=C(C=C1)C=O,0
Q8NGZ2,31244,COC1=CC=C(C=C1)C=O,0
Q9Y5P1,31244,COC1=CC=C(C=C1)C=O,0
Q8NH64,31244,COC1=CC=C(C=C1)C=O,0
Q8NGJ6,31244,COC1=CC=C(C=C1)C=O,0
Q8NGT0,31244,COC1=CC=C(C=C1)C=O,0
Q8NGS8,31244,COC1=CC=C(C=C1)C=O,0
Q8NGS7,31244,COC1=CC=C(C=C1)C=O,0
Q8NG92,31244,COC1=CC=C(C=C1)C=O,0
Q8NGT2,31244,COC1=CC=C(C=C1)C=O,0
Q96R54,31244,COC1=CC=C(C=C1)C=O,0
Q8NGV5,31244,COC1=CC=C(C=C1)C=O,0
Q8NGS4,31244,COC1=CC=C(C=C1)C=O,0
Q8NGZ3,31244,COC1=CC=C(C=C1)C=O,0
Q8NGI0,31244,COC1=CC=C(C=C1)C=O,0
Q8NH53,31244,COC1=CC=C(C=C1)C=O,0
Q8NGF1,31244,COC1=CC=C(C=C1)C=O,0
Q8NH56,31244,COC1=CC=C(C=C1)C=O,0
Q8NGK3,31244,COC1=CC=C(C=C1)C=O,0
Q8NGK4,31244,COC1=CC=C(C=C1)C=O,0
Q8NGK5,31244,COC1=CC=C(C=C1)C=O,0
Q8NGH7,31244,COC1=CC=C(C=C1)C=O,0
Q8NH76,31244,COC1=CC=C(C=C1)C=O,0
Q9Y585,7122,CC(=O)C1=CC2=CC=CC=C2C=C1,0
Q8NGR6,7122,CC(=O)C1=CC2=CC=CC=C2C=C1,0
Q15619,7122,CC(=O)C1=CC2=CC=CC=C2C=C1,0
Q6IF63,31244,COC1=CC=C(C=C1)C=O,0
Q8NGH5,31244,COC1=CC=C(C=C1)C=O,0
Q8NGI3,31244,COC1=CC=C(C=C1)C=O,0
Q8NGH8,31244,COC1=CC=C(C=C1)C=O,0
Q8NH54,31244,COC1=CC=C(C=C1)C=O,0
Q96RD2,31244,COC1=CC=C(C=C1)C=O,0
Q9H2C5,31244,COC1=CC=C(C=C1)C=O,0
Q8NGF0,31244,COC1=CC=C(C=C1)C=O,0
Q9H346,31244,COC1=CC=C(C=C1)C=O,0
Q8NGK2,31244,COC1=CC=C(C=C1)C=O,0
Q9H2C8,31244,COC1=CC=C(C=C1)C=O,0
A6NMU1,31244,COC1=CC=C(C=C1)C=O,0
Q9UKL2,31244,COC1=CC=C(C=C1)C=O,0
Q8NGK6,31244,COC1=CC=C(C=C1)C=O,0
Q8NGJ2,31244,COC1=CC=C(C=C1)C=O,0
Q8NH67,31244,COC1=CC=C(C=C1)C=O,0
Q8NH60,31244,COC1=CC=C(C=C1)C=O,0
Q8NGH9,31244,COC1=CC=C(C=C1)C=O,0
Q8NGJ4,31244,COC1=CC=C(C=C1)C=O,0
Q6IFG1,31244,COC1=CC=C(C=C1)C=O,0
Q96RD3,31244,COC1=CC=C(C=C1)C=O,0
Q96RD0,31244,COC1=CC=C(C=C1)C=O,0
Q8NGG7,31244,COC1=CC=C(C=C1)C=O,0
Q8NGA0,31244,COC1=CC=C(C=C1)C=O,0
Q8NG99,31244,COC1=CC=C(C=C1)C=O,0
Q8NG95,31244,COC1=CC=C(C=C1)C=O,0
Q96RC9,31244,COC1=CC=C(C=C1)C=O,0
Q15620,31244,COC1=CC=C(C=C1)C=O,0
Q8NGG6,31244,COC1=CC=C(C=C1)C=O,0
Q8WZ84,31244,COC1=CC=C(C=C1)C=O,0
Q9GZM6,31244,COC1=CC=C(C=C1)C=O,0
Q8NGM9,31244,COC1=CC=C(C=C1)C=O,0
Q15617,31244,COC1=CC=C(C=C1)C=O,0
Q15622,31244,COC1=CC=C(C=C1)C=O,0
O76100,31244,COC1=CC=C(C=C1)C=O,0
O14581,31244,COC1=CC=C(C=C1)C=O,0
Q8NH79,31244,COC1=CC=C(C=C1)C=O,0
Q8NGX8,31244,COC1=CC=C(C=C1)C=O,0
Q8NG98,31244,COC1=CC=C(C=C1)C=O,0
Q6IFN5,31244,COC1=CC=C(C=C1)C=O,0
O76099,31244,COC1=CC=C(C=C1)C=O,0
O60412,31244,COC1=CC=C(C=C1)C=O,0
Q96RA2,31244,COC1=CC=C(C=C1)C=O,0
Q6IF36,31244,COC1=CC=C(C=C1)C=O,0
Q9H208,31244,COC1=CC=C(C=C1)C=O,0
Q8NGE9,31244,COC1=CC=C(C=C1)C=O,0
Q9H207,31244,COC1=CC=C(C=C1)C=O,0
P58181,31244,COC1=CC=C(C=C1)C=O,0
Q9H209,31244,COC1=CC=C(C=C1)C=O,0
Q8NH87,31244,COC1=CC=C(C=C1)C=O,0
Q8NGQ1,31244,COC1=CC=C(C=C1)C=O,0
Q8NGU2,31244,COC1=CC=C(C=C1)C=O,0
Q8NGT5,31244,COC1=CC=C(C=C1)C=O,0
Q8NG78,31244,COC1=CC=C(C=C1)C=O,0
Q8NGG4,31244,COC1=CC=C(C=C1)C=O,0
Q8N162,31244,COC1=CC=C(C=C1)C=O,0
Q8N146,31244,COC1=CC=C(C=C1)C=O,0
Q8N0Y5,31244,COC1=CC=C(C=C1)C=O,0
Q8NGP2,31244,COC1=CC=C(C=C1)C=O,0
Q8NGG5,31244,COC1=CC=C(C=C1)C=O,0
Q8NH51,31244,COC1=CC=C(C=C1)C=O,0
Q8NH50,31244,COC1=CC=C(C=C1)C=O,0
Q8NH10,31244,COC1=CC=C(C=C1)C=O,0
P0C7N1,31244,COC1=CC=C(C=C1)C=O,0
P0C7N5,31244,COC1=CC=C(C=C1)C=O,0
Q8NGG0,31244,COC1=CC=C(C=C1)C=O,0
Q8NGE7,31244,COC1=CC=C(C=C1)C=O,0
Q8NGQ5,31244,COC1=CC=C(C=C1)C=O,0
P0C7N8,31244,COC1=CC=C(C=C1)C=O,0
Q8NGQ6,31244,COC1=CC=C(C=C1)C=O,0
Q8NGE1,31244,COC1=CC=C(C=C1)C=O,0
Q9NZP0,31244,COC1=CC=C(C=C1)C=O,0
